city,region,country,lat,lon,continent
eskasem,badakhshan,afghanistan,36.709,71.574,asia
faizabad,badakhshan,afghanistan,37.1175,70.5797,asia
shehr qaleh,badghis,afghanistan,34.9867,63.1292,asia
baglan,baghlan,afghanistan,36.127,68.705,asia
bala kuh,balkh,afghanistan,36.5758,66.8203,asia
balkh,balkh,afghanistan,36.759,66.896,asia
kholm,balkh,afghanistan,36.695,67.698,asia
mazar-e sharif,balkh,afghanistan,36.7069,67.1122,asia
nili,bamian,afghanistan,33.7261,66.1308,asia
panjab,bamian,afghanistan,34.388,67.023,asia
sekhreza,bamian,afghanistan,34.8292,67.8347,asia
yakaulang,bamian,afghanistan,34.7347,66.9678,asia
chawnay,daykondi,afghanistan,33.3833,66.2736,asia
farah,farah,afghanistan,32.374,62.116,asia
tojg,farah,afghanistan,32.0686,61.8058,asia
andkhoi,faryab,afghanistan,36.9525,65.1236,asia
maymana,faryab,afghanistan,35.921,64.784,asia
gazni,ghazni,afghanistan,33.551,68.423,asia
almasha,ghowr,afghanistan,33.5136,64.43,asia
chekcheran,ghowr,afghanistan,34.5225,65.2517,asia
bost,helmand,afghanistan,31.5892,64.3633,asia
deh shu,helmand,afghanistan,30.4344,63.3183,asia
hokumati baghran,helmand,afghanistan,33.0753,65.0864,asia
sangin,helmand,afghanistan,32.073,64.834,asia
ghorian,herat,afghanistan,34.3456,61.495,asia
herat,herat,afghanistan,34.347,62.198,asia
kafir qala,herat,afghanistan,34.667,61.067,asia
karukh,herat,afghanistan,34.479,62.587,asia
kuhestan,herat,afghanistan,34.654,61.198,asia
kushk,herat,afghanistan,33.296,61.953,asia
aqca,jowzjan,afghanistan,36.9114,66.1858,asia
qarqin,jowzjan,afghanistan,37.404,66.053,asia
shibarghan,jowzjan,afghanistan,36.667,65.754,asia
bagrami,kabol,afghanistan,34.494,69.275,asia
gowdarah,kabol,afghanistan,34.8197,69.0886,asia
kabul,kabol,afghanistan,34.517,69.183,asia
pagman,kabol,afghanistan,34.588,68.953,asia
qandahar,kandahar,afghanistan,31.613,65.709,asia
khowst,khowst,afghanistan,33.338,69.92,asia
asadabad,konar,afghanistan,34.873,71.146,asia
carikar,kondoz,afghanistan,35.014,69.171,asia
chichka,kondoz,afghanistan,37.0656,69.2933,asia
