city,region,country,lat,lon,continent
Tokyo,Tokyo,Japan,35.69,139.692,Asia
Jakarta,Jakarta Raya,Indonesia,-6.215,106.845,Asia
New Delhi,Delhi,India,28.6,77.2,Asia
Guangzhou,Guangdong,China,23.117,113.25,Asia
Bombay,Maharashtra,India,18.975,72.826,Asia
Manila,Manila,Philippines,14.604,120.982,Asia
Shanghaishih,Shanghai,China,31.2222,121.4581,Asia
Sao Paulo,Sao Paulo,Brazil,-23.533,-46.617,America
Mexico City,The Federal District,Mexico,19.429,-99.128,America
Calcutta,West Bengal,India,22.57,88.37,Asia
Cairo,Al Qahirah,Egypt,30.05,31.25,Africa
Karachi,Sindh,Pakistan,24.867,67.05,Asia
Brooklyn,New York,United States of America,40.65,-73.95,America
Beijing,Beijing,China,39.929,116.388,Asia
Bangkok,Krung Thep,Thailand,13.75,100.517,Asia
Москва,Moscow City,Russia,55.752,37.616,Europe
Quilmes,Buenos Aires,Argentina,-34.72,-58.269,America
Lagos,Lagos,Nigeria,6.453,3.396,Africa
Bangalore,Karnataka,India,12.983,77.583,Asia
Osaka-Shi,Osaka,Japan,34.694,135.502,Asia
Chengdu,Sichuan,China,30.667,104.067,Asia
Istanbul,Istanbul,Turkey,41.019,28.965,Europe
Tehran,Tehran,Iran,35.726,51.33,Asia
Kinshasa,Kinshasa,Democratic Republic of Congo,-4.3,15.3,Africa
Rio De Janeiro,Rio de Janeiro,Brazil,-22.9,-43.233,America
Chennai,Tamil Nadu,India,13.083,80.283,Asia
Xian,Shaanxi,China,34.262,108.938,Asia
Lahore,Punjab,Pakistan,31.55,74.344,Asia
Chongqing,Chongqing,China,29.563,106.553,Asia
Beverly Hills,California,United States of America,34.074,-118.399,America
London,City of London Greater London,United Kingdom,51.517,-0.106,Europe
Paris,Ile-de-France,France,48.867,2.333,Europe
Ichou,Shandong,China,35.0631,118.3428,Asia
Baoding,Hebei,China,38.851,115.49,Asia
Hyderabad,Telangana,India,17.375,78.474,Asia
Tianjin,Tianjin,China,39.142,117.177,Asia
Lima,Lima,Peru,-12.05,-77.05,America
Wuhan,Hubei,China,30.583,114.267,Asia
Nanyang,Henan,China,32.995,112.533,Asia
Hangzhou,Zhejiang,China,30.255,120.169,Asia
Nagoya-Shi,Aichi,Japan,35.182,136.906,Asia
Luanda,Cuanza Norte,Angola,-8.838,13.234,Africa
Kuala Lumpur,Kuala Lumpur,Malaysia,3.167,101.7,Asia
Xuzhou,Jiangsu,China,34.267,117.192,Asia
Chicago,Illinois,United States of America,41.85,-87.65,America
Cota,Cundinamarca,Colombia,4.817,-74.1,America
Sarkhej,Gujarat,India,22.983,72.5,Asia
Shenyang,Liaoning,China,41.792,123.433,Asia
Dar Es Salaam,Dar es Salaam,Tanzania,-6.8,39.283,Africa
Khartoum,Al Khartum,Sudan,15.588,32.534,Africa
Johannesburg,Gauteng,South Africa,-26.2,28.083,Africa
Fuyang,Anhui,China,32.9,115.817,Asia
Ganzhou,Jiangxi,China,25.85,114.933,Asia
Riyadh,Ar Riyad,Saudi Arabia,24.641,46.773,Asia
Santiago,Region Metropolitana,Chile,-33.45,-70.667,America
Rangoon,Yangon,Myanmar,16.783,96.167,Asia
Bijie,Guizhou,China,27.313,105.294,Asia
Hengyang,Hunan,China,26.888,112.615,Asia
Surabaya,East Java,Indonesia,-7.249,112.751,Asia
Baiqi,Fujian,China,24.879,118.716,Asia
Madrid,Madrid,Spain,40.4,-3.683,Europe
Baghdad,Baghdad,Iraq,33.339,44.394,Asia
Miami,Florida,United States of America,25.774,-80.194,America
Houston,Texas,United States of America,29.763,-95.363,America
Allahabad,Uttar Pradesh,India,25.45,81.85,Asia
Ankara,Ankara,Turkey,39.927,32.864,Europe
Yulin,Guangxi,China,22.633,110.15,Asia
Douala,Littoral,Cameroon,4.05,9.7,Africa
Qujing,Yunnan,China,25.483,103.783,Asia
Philadelphia,Pennsylvania,United States of America,39.952,-75.164,America
Willowdale,Ontario,Canada,43.783,-79.417,America
Gizeh,Al Jizah,Egypt,30.009,31.212,Africa
Санкт-Петербург,Saint Petersburg City,Russia,59.894,30.264,Europe
Nairobi,Nairobi Area,Kenya,-1.283,36.817,Africa
Guadalajara,Jalisco,Mexico,20.667,-103.392,America
Belo Horizonte,Minas Gerais,Brazil,-19.917,-43.933,America
Monterrey,Nuevo LeÃ³n,Mexico,25.675,-100.319,America
Atlanta,Georgia,United States of America,33.749,-84.388,America
Washington,District of Columbia,United States of America,38.895,-77.037,America
Melbourne,Victoria,Australia,-37.817,144.967,Australia
Abidjan,Lagunes,Cote d'Ivoire,5.341,-4.028,Africa
Alexandria,Al Iskandariyah,Egypt,31.198,29.919,Africa
Sydney,New South Wales,Australia,-33.883,151.217,Australia
Barcelona,Catalonia,Spain,41.383,2.183,Europe
Yuncheng,Shanxi,China,35.023,110.993,Asia
Cape Town,Western Cape,South Africa,-33.917,18.417,Africa
Jeddah,Makkah,Saudi Arabia,21.517,39.219,Asia
Berlin,Berlin,Germany,52.517,13.4,Europe
Jhanjharpur,Bihar,India,26.267,86.283,Asia
Changchun,Jilin,China,43.88,125.323,Asia
Brookline,Massachusetts,United States of America,42.332,-71.122,America
Urumqi,Xinjiang,China,43.8,87.583,Asia
Kabul,Kabol,Afghanistan,34.517,69.183,Asia
Bamako,Bamako,Mali,12.65,-8.0,Africa
Kano,Kano,Nigeria,11.996,8.517,Africa
Caucaia,Ceara,Brazil,-3.7,-38.65,America
Qiqihar,Heilongjiang,China,47.341,123.967,Asia
Glendale,Arizona,United States of America,33.539,-112.185,America
Chifeng,Nei Mongol,China,42.268,118.964,Asia
Amman,Amman Governorate,Jordan,31.95,35.933,Asia
Kumasi,Ashanti,Ghana,6.683,-1.617,Africa
Gerki,Federal Capital Territory,Nigeria,9.0142,7.4869,Africa
Yokohama,Kanagawa,Japan,35.448,139.643,Asia
Highland Park,Michigan,United States of America,42.406,-83.097,America
Mashhad,Khorasan,Iran,36.297,59.606,Asia
Montreal,Quebec,Canada,45.5,-73.583,America
Medan,North Sumatra,Indonesia,3.583,98.667,Asia
Seattle,Washington,United States of America,47.606,-122.331,America
Ibadan,Oyo,Nigeria,7.388,3.896,Africa
Dubai,Dubai,United Arab Emirates,25.252,55.28,Asia
Thrissur,Kerala,India,10.517,76.217,Asia
Caracas,Distrito Federal,Venezuela,10.5,-66.917,America
Santa Cruz De La Sierra,Santa Cruz,Bolivia,-17.8,-63.167,America
Bursa,Bursa,Turkey,40.192,29.061,Europe
Tashkent,Toshkent,Uzbekistan,41.317,69.25,Asia
Guayaquil,Guayas,Ecuador,-2.167,-79.9,America
Jaipur,Rajasthan,India,26.917,75.817,Asia
Lanzhou,Gansu,China,36.056,103.792,Asia
Ouagadougou,Kadiogo,Burkina Faso,12.37,-1.525,Africa
Athens,Attica,Greece,37.98,23.716,Europe
Guatemala City,Guatemala,Guatemala,14.621,-90.527,America
Kuwait City,Al Kuwayt,Kuwait,29.367,47.96,Asia
Izmir,Izmir,Turkey,38.41,27.142,Europe
Caloocan,Quezon City,Philippines,14.633,121.05,Asia
Kyiv,Kyyivs'ka Oblast',Ukraine,50.433,30.517,Europe
Minneapolis,Minnesota,United States of America,44.98,-93.264,America
Mbuji-Mayi,Kasai-Oriental,Democratic Republic of Congo,-6.15,23.6,Africa
Taichung,T'ai-wan,Taiwan,24.143,120.681,Asia
Cali,Valle del Cauca,Colombia,3.437,-76.523,America
