,city,region,country,lat,lon,date,temp_c,temp_f,is_day,condition_text,condition_icon,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,vis_km,vis_miles,uv,gust_mph,gust_kph
0,Sar-E Sirdagh,Bamian,Afghanistan,34.605,66.9169,2025-06-29,26.7,80.0,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,13.6,22.0,286,WNW,999.0,29.51,0.0,0.0,12,2,25.0,76.9,26.7,80.0,25.0,76.9,-5.4,22.3,10.0,6.0,9.1,15.7,25.3
1,Elbasan,Elbasan,Albania,41.113,20.082,2025-06-29,33.3,91.9,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,9.2,14.8,76,ENE,1015.0,29.97,0.0,0.0,26,0,32.4,90.3,28.8,83.8,27.4,81.2,8.0,46.4,10.0,6.0,10.1,10.7,17.2
2,El Outa Sbeirath,Djelfa,Algeria,35.15,3.6167,2025-06-29,31.2,88.2,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,5.8,9.4,15,NNE,1022.0,30.18,0.0,0.0,24,0,29.2,84.6,30.0,86.0,28.0,82.5,6.2,43.1,10.0,6.0,9.6,6.7,10.8
3,Les Escaldes,Escaldes-Engordany,Andorra,42.5,1.533,2025-06-29,26.3,79.3,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,5.6,9.0,209,SSW,1024.0,30.23,0.0,0.0,32,6,25.7,78.3,26.3,79.3,25.7,78.3,8.3,47.0,10.0,6.0,9.1,6.4,10.4
4,Itula,Cuanza Sul,Angola,-10.8,15.8,2025-06-29,22.9,73.2,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,7.2,11.5,109,ESE,1017.0,30.04,0.0,0.0,19,0,22.5,72.6,22.9,73.2,22.5,72.6,-1.8,28.7,10.0,6.0,8.1,8.2,13.2
5,Saint John's,Saint John,Antigua and Barbuda,17.117,-61.85,2025-06-29,27.2,81.0,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,20.8,33.5,96,E,1016.0,30.0,0.03,0.0,79,25,30.3,86.5,27.3,81.1,30.5,86.8,22.8,73.1,10.0,6.0,0.1,28.9,46.5
6,Wenceslao Escalante,Cordoba,Argentina,-33.167,-62.75,2025-06-29,2.0,35.6,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,12.8,20.5,192,SSW,1032.0,30.48,0.0,0.0,55,5,-2.8,27.0,-2.8,27.0,2.0,35.6,-6.0,21.2,10.0,6.0,0.0,20.1,32.4
7,Zar,Kotayk',Armenia,40.261,44.736,2025-06-29,30.2,86.4,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,2.5,4.0,193,SSW,1001.0,29.56,0.12,0.0,29,25,29.7,85.4,26.4,79.4,26.0,78.8,9.5,49.2,10.0,6.0,10.2,3.3,5.4
8,Milparinka,New South Wales,Australia,-29.7333,141.8833,2025-06-29,10.4,50.7,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,10.5,16.9,167,SSE,1027.0,30.31,0.0,0.0,51,3,8.2,46.7,8.2,46.7,10.4,50.7,0.8,33.5,10.0,6.0,0.0,21.8,35.1
9,Liezen,Steiermark,Austria,47.567,14.233,2025-06-29,27.4,81.3,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,3.4,5.4,347,NNW,1025.0,30.27,0.0,0.0,45,25,27.3,81.1,20.3,68.6,20.3,68.6,6.3,43.3,10.0,6.0,9.3,7.0,11.3
10,Ashagy Shilyan,Kurdamir,Azerbaijan,40.3292,48.0142,2025-06-29,31.9,89.4,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,5.8,9.4,151,SSE,1002.0,29.59,0.09,0.0,24,84,30.2,86.4,31.9,89.4,30.2,86.4,9.0,48.2,10.0,6.0,7.6,6.7,10.8
11,Smiths Point Settlement,Freeport,Bahamas,26.5,-78.6167,2025-06-29,26.2,79.2,0,Partly Cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,8.5,13.7,119,ESE,1019.0,30.1,0.0,0.0,84,0,29.9,85.9,27.3,81.1,32.0,89.7,25.4,77.6,10.0,6.0,0.0,11.7,18.8
12,Manama,Al Manamah,Bahrain,26.236,50.583,2025-06-29,44.2,111.6,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,11.0,17.6,346,NNW,994.0,29.35,0.0,0.0,13,0,46.2,115.2,35.2,95.3,40.4,104.7,22.0,71.6,10.0,6.0,8.9,23.0,37.0
13,Bridgetown,Saint Michael,Barbados,13.1,-59.617,2025-06-29,27.2,81.0,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,21.0,33.8,86,E,1014.0,29.94,0.0,0.0,84,50,30.4,86.7,27.0,80.6,30.0,86.0,22.7,72.8,10.0,6.0,0.1,30.7,49.4
14,Zadashchenye,Mahilyowskaya Voblasts',Belarus,53.4,27.7,2025-06-29,20.2,68.4,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,17.2,27.7,275,W,1006.0,29.71,0.21,0.01,78,75,20.2,68.4,20.2,68.4,20.2,68.4,17.6,63.6,10.0,6.0,6.4,22.9,36.9
15,Rockville,Belize,Belize,17.4,-88.4667,2025-06-29,27.6,81.8,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,14.5,23.4,95,E,1014.0,29.94,0.0,0.0,80,15,31.6,88.9,27.6,81.8,31.6,88.9,23.9,75.0,10.0,6.0,0.0,22.8,36.7
16,Beterou,Collines,Benin,9.2,2.267,2025-06-29,29.3,84.8,1,Partly Cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,7.6,12.2,218,SW,1014.0,29.94,0.0,0.0,61,25,32.1,89.7,29.3,84.8,32.1,89.7,21.1,70.0,10.0,6.0,6.3,8.7,14.1
17,Hamilton,Hamilton,Bermuda,32.294,-64.784,2025-06-29,26.3,79.3,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,2.2,3.6,88,E,1021.0,30.15,0.0,0.0,84,25,29.5,85.1,26.2,79.1,29.2,84.6,23.3,74.0,10.0,6.0,0.2,3.0,4.9
18,Bhangbarai,Geylegphug,Bhutan,27.2667,90.3,2025-06-29,16.6,62.0,1,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png,4.0,6.5,176,S,1003.0,29.63,0.76,0.03,89,81,16.7,62.0,16.7,62.0,16.7,62.0,14.9,58.8,10.0,6.0,2.4,6.5,10.5
19,Siquenea,Cochabamba,Bolivia,-17.4,-65.25,2025-06-29,7.8,46.1,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,2.2,3.6,304,NW,1019.0,30.1,0.0,0.0,84,15,7.8,46.1,7.8,46.1,7.8,46.1,5.3,41.5,10.0,6.0,0.0,2.8,4.5
20,Zenica,Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,44.201,17.906,2025-06-29,27.3,81.1,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,9.2,14.8,28,NNE,1022.0,30.18,0.0,0.0,42,0,27.0,80.5,28.8,83.8,28.4,83.2,12.9,55.2,10.0,6.0,10.0,10.6,17.0
21,Zuwe,South-East,Botswana,-23.05,24.8333,2025-06-29,20.1,68.2,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,9.4,15.1,96,E,1024.0,30.25,0.0,0.0,31,4,20.1,68.2,20.1,68.2,20.1,68.2,2.6,36.7,10.0,6.0,5.7,10.8,17.4
22,Floresta,Minas Gerais,Brazil,-15.4667,-45.8,2025-06-29,14.9,58.8,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,2.9,4.7,100,E,1020.0,30.11,0.0,0.0,55,7,15.4,59.7,15.4,59.7,14.9,58.8,6.0,42.8,10.0,6.0,0.2,6.1,9.8
23,Pavel Banya,Stara Zagora,Bulgaria,42.6,25.2,2025-06-29,25.1,77.2,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,12.1,19.4,1,N,1018.0,30.05,0.0,0.0,38,13,25.3,77.6,25.1,77.2,25.3,77.6,9.9,49.8,10.0,6.0,10.3,13.9,22.4
24,Kokologo,Boulkiemde,Burkina Faso,12.19,-1.886,2025-06-29,31.2,88.2,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,14.8,23.8,238,WSW,1013.0,29.91,0.0,0.0,63,0,33.2,91.8,31.5,88.7,33.8,92.8,19.4,67.0,10.0,6.0,6.5,17.0,27.3
25,Gitega,Gitega,Burundi,-3.425,29.933,2025-06-29,20.6,69.2,1,Partly Cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,7.8,12.6,137,SE,1016.0,30.01,0.0,0.0,54,30,20.6,69.2,20.6,69.2,20.6,69.2,10.9,51.6,10.0,6.0,10.9,9.0,14.5
26,Kampong Chhnang,Kampong Chhnang,Cambodia,12.25,104.667,2025-06-29,29.1,84.4,1,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png,4.0,6.5,236,WSW,1005.0,29.67,0.75,0.03,72,55,33.3,92.0,29.1,84.4,33.3,92.0,23.5,74.3,10.0,6.0,0.8,6.2,10.0
27,Mambioko,Adamaoua,Cameroon,5.6,11.7833,2025-06-29,24.3,75.8,1,Light rain,//cdn.weatherapi.com/weather/64x64/day/296.png,3.4,5.4,241,WSW,1015.0,29.97,0.92,0.04,85,88,26.5,79.6,24.3,75.8,26.5,79.6,21.6,70.9,9.0,5.0,4.2,4.2,6.8
28,Rock River,Michigan,United States of America,46.4639,-86.9131,2025-06-29,19.4,66.9,1,Thundery outbreaks in nearby,//cdn.weatherapi.com/weather/64x64/day/200.png,8.9,14.4,210,SSW,1013.0,29.91,0.0,0.0,73,0,19.4,66.9,17.3,63.1,17.3,63.1,15.5,59.9,10.0,6.0,0.0,18.8,30.2
29,Tarrafal,Tarrafal,Cape Verde,15.2759,-23.7538,2025-06-29,25.1,77.2,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,7.4,11.9,38,NE,1016.0,30.0,0.0,0.0,74,75,27.5,81.4,21.4,70.5,24.3,75.7,18.5,65.4,10.0,6.0,3.6,13.3,21.4
30,Tere,Ouaka,Central African Republic,5.7833,19.6167,2025-06-29,22.8,73.1,1,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png,4.0,6.5,221,SW,1013.0,29.92,0.0,0.0,94,63,25.2,77.4,22.8,73.1,25.2,77.4,21.8,71.2,10.0,6.0,4.6,5.9,9.5
